2025-08-12 13:12:34,031 - INFO - Loglar temizlendi
2025-08-12 13:16:51,914 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:16:51,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:16:51,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:16:51,915 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:01,912 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:01,912 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:01,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:01,913 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:11,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:11,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:11,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:11,918 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:21,922 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:17:21,923 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:21,924 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:21,925 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:21,925 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:31,910 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:31,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:31,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:31,911 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:41,912 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:41,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:41,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:41,913 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:51,915 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:17:51,915 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:17:51,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:51,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:17:51,917 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:01,917 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:01,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:01,919 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:01,919 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:11,911 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:11,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:11,912 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:11,912 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:21,916 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:18:21,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:21,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:21,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:21,918 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:31,909 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:31,909 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:31,910 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:31,910 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:41,913 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:41,914 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:41,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:41,916 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:51,911 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:18:51,912 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:18:51,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:51,914 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:18:51,914 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:01,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:19:01,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:01,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:01,918 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:11,917 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:19:11,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:11,919 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:11,919 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:21,909 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:19:21,909 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:19:21,910 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:21,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:21,911 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:31,909 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:19:31,910 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:31,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:31,911 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:41,918 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:19:41,919 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:41,920 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:41,920 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:19:51,911 - INFO - Sonraki zamanlama bulunamadı
